Time;Iterations;Result;warmUp;Threads;ResponseSize;failures;RequestSize;Average
0:00:01;127;127.8050118400544;true;100;6465;0;43053;318.6084473988941
0:00:02;311;11774.444040188533;true;100;15823;0;105429;225.57282113663263
0:00:03;528;306.9399402883951;true;100;26858;0;178992;209.46068950090074
0:00:04;735;271.67481954197075;true;100;37392;0;249165;214.68105328205291
0:00:05;1027;423.56923205635997;true;100;52239;0;348153;224.40774834012066
0:00:06;1282;1016.5464175272689;true;100;65219;0;434598;230.4115968694125
0:00:07;1564;2777.1040986085236;true;100;79571;0;530196;237.8070302958696
0:00:08;1813;371.48949899674244;true;100;92233;0;614607;240.91593098809093
0:00:09;2084;1119.8872820012018;true;100;106022;0;706476;244.03339969742407
0:00:10;2380;737.5061861097008;true;100;121065;0;806820;249.20850952020356
0:00:11;2648;182.06058489435281;true;100;134694;0;897672;250.4391692492868
0:00:12;2886;326.0589016341364;true;100;146801;0;978354;252.26271529720296
0:00:13;3148;698.2084425200424;true;100;160128;0;1067172;251.3581486361896
0:00:14;3432;261.97009612400626;true;100;174577;0;1163448;253.7173882273503
0:00:15;3702;256.7442253486788;true;100;188324;0;1254978;255.724021807357
0:00:16;3992;1275.1160240821473;true;100;203075;0;1353288;256.74165772872703
0:00:17;4277;434.89251170587124;true;100;217564;0;1449903;259.08632536476114
0:00:18;4545;1000.2532641264768;true;100;231192;0;1540755;260.6910454182954
0:00:19;4729;259.1322755185879;true;100;240546;0;1603131;255.64697074915566
0:00:20;4992;296.6511605226271;true;100;253929;0;1692288;257.201017486634
0:00:21;5194;412.15921280096285;true;100;264195;0;1760766;255.14629020075787
0:00:22;5376;176.68920641399913;true;100;273454;0;1822464;253.31835189383332
0:00:23;5512;556.6576697056353;true;100;280381;0;1868568;248.67998407048375
0:00:24;5697;182.1959143630228;true;100;289797;0;1931283;244.64922030907553
0:00:25;5831;114.98549128019141;true;100;296617;0;1976709;242.283635176651
0:00:26;6029;164.90672520248555;true;100;306678;0;2043831;237.36731105392377
0:00:27;6175;608.3682500713753;true;100;314104;0;2093325;236.01522649510483
0:00:28;6323;277.0013882838678;true;100;321633;0;2143497;232.26106411913366
0:00:29;6478;219.89563792605244;true;100;329525;0;2196042;229.58603711137303
0:00:30;6645;330.6176586204258;true;100;338025;0;2252655;226.9670272374057
0:00:31;6836;159.80915386289973;true;100;347735;0;2317404;225.05596688502948
0:00:01;242;354.83154654418894;false;100;17446;0;116277;194.22194522744417
