Time;Iterations;warmUp;Used;Total;Max
0:00:05;11;true;71.97493743896484;234.5;2603.0
0:00:10;39;true;187.19281005859375;379.0;2603.0
0:00:15;75;true;289.8838348388672;538.5;2603.0
0:00:20;111;true;163.15394592285156;776.0;2603.0
0:00:25;154;true;103.0582275390625;710.5;2603.0
0:00:05;0;false;641.9687881469727;845.5;2603.0
0:00:10;0;false;763.4016036987305;810.5;2603.0
0:00:15;39;false;589.7758636474609;744.5;2603.0
0:00:20;70;false;560.7192306518555;681.5;2603.0
0:00:25;118;false;39.17632293701172;602.5;2603.0
0:00:30;163;false;265.3132781982422;553.0;2603.0
0:00:35;204;false;434.88702392578125;512.0;2603.0
0:00:40;249;false;300.71353912353516;456.5;2603.0
0:00:45;294;false;265.3040084838867;495.0;2603.0
0:00:50;338;false;636.8997497558594;697.0;2603.0
0:00:55;389;false;781.7146835327148;935.0;2603.0
0:01:00;434;false;348.7468719482422;897.5;2603.0
0:01:05;482;false;715.7086334228516;859.0;2603.0
0:01:10;533;false;539.8982467651367;786.0;2603.0
0:01:15;576;false;265.17664337158203;721.5;2603.0
0:01:20;622;false;477.0606918334961;661.5;2603.0
0:01:25;661;false;394.0691680908203;608.0;2603.0
0:01:30;715;false;192.2355728149414;648.5;2603.0
0:01:35;766;false;431.43328857421875;717.0;2603.0
0:01:40;815;false;298.5951843261719;787.5;2603.0
0:01:45;865;false;382.36317443847656;725.5;2603.0
0:01:50;918;false;394.62237548828125;799.5;2603.0
0:01:55;969;false;341.7297134399414;730.0;2603.0
0:02:00;1018;false;412.67772674560547;673.0;2603.0
0:02:05;1067;false;185.20914459228516;594.5;2603.0
0:02:10;1118;false;129.50890350341797;525.5;2603.0
0:02:15;1173;false;220.22876739501953;555.0;2603.0
0:02:20;1219;false;441.38377380371094;733.5;2603.0
0:02:25;1272;false;602.2170944213867;675.5;2603.0
0:02:30;1325;false;294.1273727416992;594.0;2603.0
0:02:35;1376;false;213.38420867919922;630.0;2603.0
0:02:40;1429;false;487.7768325805664;696.0;2603.0
0:02:45;1481;false;597.784538269043;765.5;2603.0
0:02:50;1532;false;144.50450134277344;673.0;2603.0
0:02:55;1586;false;397.72554779052734;619.0;2603.0
0:03:00;1635;false;185.41717529296875;548.0;2603.0
0:03:05;1686;false;340.7589874267578;484.0;2603.0
0:03:10;1743;false;114.76255798339844;416.0;2603.0
0:03:15;1796;false;132.46267700195312;503.0;2603.0
0:03:20;1848;false;648.810676574707;664.5;2603.0
0:03:25;1901;false;51.77421569824219;787.0;2603.0
0:03:30;1954;false;229.04174041748047;811.5;2603.0
0:03:35;2009;false;280.0897216796875;870.5;2603.0
0:03:40;2064;false;181.93482971191406;1003.5;2603.0
0:03:45;2117;false;884.9405059814453;959.5;2603.0
0:03:50;2170;false;691.8957290649414;1055.5;2603.0
0:03:55;2222;false;469.14640045166016;963.0;2603.0
0:04:00;2276;false;240.9040069580078;887.0;2603.0
0:04:05;2329;false;316.354248046875;812.5;2603.0
0:04:10;2382;false;515.191291809082;749.0;2603.0
0:04:15;2433;false;190.62622833251953;666.5;2603.0
0:04:20;2486;false;557.5644454956055;616.0;2603.0
0:04:25;2539;false;114.10272216796875;530.0;2603.0
0:04:30;2592;false;347.91495513916016;476.5;2603.0
0:04:35;2648;false;416.3153305053711;599.0;2603.0
0:04:40;2702;false;449.0457992553711;536.0;2603.0
0:04:45;2755;false;216.5609130859375;462.0;2603.0
0:04:50;2806;false;142.6512908935547;404.5;2603.0
0:04:55;2861;false;95.25120544433594;404.5;2603.0
0:05:00;2904;false;243.1825180053711;596.5;2603.0
