Time;Iterations;warmUp;Used;Total;Max
0:00:05;1;true;49.511924743652344;136.0;2603.0
0:00:10;19;true;23.009681701660156;270.0;2603.0
0:00:15;53;true;305.87056732177734;458.0;2603.0
0:00:20;92;true;493.21834564208984;600.5;2603.0
0:00:25;139;true;676.0719375610352;783.0;2603.0
0:00:05;0;false;565.334114074707;657.5;2603.0
0:00:10;18;false;60.263710021972656;580.5;2603.0
0:00:15;35;false;36.185882568359375;535.0;2603.0
0:00:20;85;false;424.73238372802734;490.5;2603.0
0:00:25;121;false;95.99726104736328;419.0;2603.0
0:00:30;170;false;389.3257827758789;435.5;2603.0
0:00:35;215;false;57.512420654296875;433.0;2603.0
0:00:40;260;false;111.01515197753906;520.5;2603.0
0:00:45;296;false;296.93285369873047;646.5;2603.0
0:00:50;326;false;589.6090393066406;678.5;2603.0
0:00:55;363;false;361.87474060058594;617.0;2603.0
0:01:00;410;false;66.0823745727539;550.5;2603.0
0:01:05;456;false;90.78012084960938;486.0;2603.0
0:01:10;502;false;366.99781036376953;451.5;2603.0
0:01:15;553;false;271.08829498291016;384.5;2603.0
0:01:20;611;false;196.95016479492188;365.5;2603.0
0:01:25;658;false;255.96913146972656;317.0;2603.0
0:01:30;708;false;77.54692077636719;457.5;2603.0
0:01:35;766;false;143.6355438232422;449.5;2603.0
0:01:40;817;false;375.7507858276367;561.0;2603.0
0:01:45;866;false;393.4355697631836;493.0;2603.0
0:01:50;921;false;346.5599670410156;422.5;2603.0
0:01:55;971;false;87.37751770019531;350.0;2603.0
0:02:00;1026;false;170.49837493896484;461.5;2603.0
0:02:05;1082;false;360.3870544433594;410.5;2603.0
0:02:10;1134;false;207.24302673339844;342.0;2603.0
0:02:15;1168;false;128.42062377929688;297.0;2603.0
0:02:20;1218;false;159.85394287109375;244.5;2603.0
0:02:25;1262;false;168.4595947265625;303.0;2603.0
0:02:30;1317;false;294.7047653198242;332.5;2603.0
0:02:35;1362;false;133.8732147216797;280.0;2603.0
0:02:40;1403;false;250.940185546875;368.5;2603.0
0:02:45;1450;false;167.64683532714844;467.5;2603.0
0:02:50;1499;false;136.62991333007812;408.0;2603.0
0:02:55;1549;false;226.44823455810547;359.0;2603.0
0:03:00;1598;false;261.28453826904297;402.5;2603.0
0:03:05;1653;false;198.96561431884766;345.5;2603.0
0:03:10;1711;false;414.8746566772461;463.5;2603.0
0:03:15;1765;false;270.7006072998047;581.5;2603.0
0:03:20;1818;false;388.1084747314453;602.5;2603.0
0:03:25;1870;false;197.07118225097656;682.5;2603.0
0:03:30;1924;false;388.63944244384766;767.0;2603.0
0:03:35;1974;false;565.1563110351562;705.5;2603.0
0:03:40;2026;false;357.3378448486328;625.5;2603.0
0:03:45;2078;false;271.99861907958984;560.0;2603.0
0:03:50;2133;false;416.11546325683594;499.0;2603.0
0:03:55;2186;false;210.20592498779297;499.0;2603.0
0:04:00;2242;false;466.7592468261719;520.0;2603.0
0:04:05;2297;false;254.7639617919922;451.0;2603.0
0:04:10;2350;false;413.36930084228516;525.0;2603.0
0:04:15;2405;false;459.42466735839844;633.5;2603.0
0:04:20;2451;false;104.54036712646484;568.5;2603.0
0:04:26;2502;false;497.38465881347656;615.5;2603.0
0:04:31;2554;false;138.88468170166016;527.5;2603.0
0:04:36;2607;false;204.83052825927734;547.0;2603.0
0:04:41;2664;false;285.0013885498047;490.5;2603.0
0:04:46;2719;false;432.85616302490234;590.5;2603.0
0:04:51;2775;false;475.85240173339844;528.5;2603.0
0:04:56;2830;false;168.38653564453125;529.0;2603.0
0:05:00;2874;false;82.5125503540039;473.0;2603.0
