Time;Iterations;warmUp
0:00:01;0;true
0:00:02;0;true
0:00:03;0;true
0:00:04;1;3953.846628;true
0:00:05;2;5352.241758;true
0:00:06;4;6501.118874;true
0:00:07;6;7404.825348;true
0:00:08;10;8430.75091;true
0:00:09;16;4184.721382;true
0:00:10;23;2343.015062;true
0:00:11;28;11569.33487;true
0:00:12;34;12560.44367;true
0:00:13;40;4120.450286;true
0:00:14;48;3971.926467;true
0:00:15;57;3120.195534;true
0:00:16;64;7356.227354;true
0:00:17;72;17469.907143;true
0:00:18;80;18518.479509;true
0:00:19;88;5142.280122;true
0:00:20;98;5166.057999;true
0:00:21;106;4724.140107;true
0:00:22;115;4788.22237;true
0:00:23;125;23562.083492;true
0:00:24;135;24575.846666;true
0:00:25;142;6389.542617;true
0:00:26;153;6207.664303;true
0:00:27;163;6243.593439;true
0:00:28;173;5981.916979;true
0:00:29;180;6353.09382;true
0:00:01;0;6605.841828;false
0:00:02;0;32574.816535;false
0:00:03;0;8235.363352;false
0:00:04;0;8471.041524;false
0:00:05;0;8532.09081;false
0:00:06;0;8572.412067;false
0:00:07;0;8213.395481;false
0:00:08;5;8348.743519;false
0:00:09;14;8311.599646;false
0:00:10;21;8518.31737;false
0:00:11;28;8754.095193;false
0:00:12;32;42614.45353;false
0:00:13;32;43609.604239;false
0:00:14;32;44574.188873;false
0:00:15;40;11485.992519;false
0:00:16;49;11369.534124;false
0:00:17;58;11430.209302;false
0:00:18;69;11437.593163;false
0:00:19;79;11055.75973;false
0:00:20;91;10649.934035;false
0:00:21;101;10316.917768;false
0:00:22;108;9974.616658;false
0:00:23;118;9597.140126;false
0:00:24;121;54484.260481;false
0:00:26;127;10311.730933;false
0:00:27;137;10196.684007;false
0:00:28;145;10310.405828;false
0:00:29;156;10186.809218;false
0:00:30;165;10326.345801;false
0:00:31;175;10455.535034;false
0:00:32;182;10805.094374;false
0:00:33;190;10945.625205;false
0:00:34;198;10827.149333;false
0:00:35;209;10893.361989;false
0:00:36;219;10636.902906;false
0:00:37;226;10949.222971;false
0:00:38;234;11251.359227;false
0:00:39;245;10920.810514;false
0:00:40;257;10848.796841;false
0:00:41;264;11000.787846;false
0:00:42;271;11332.556102;false
0:00:43;279;11392.912736;false
0:00:44;287;11315.228818;false
0:00:45;293;11586.495324;false
0:00:46;298;11803.503094;false
0:00:47;302;12430.394074;false
0:00:48;305;13121.853409;false
0:00:49;313;13565.805232;false
0:00:50;323;13318.905522;false
0:00:51;329;13603.458044;false
0:00:52;335;13870.615966;false
0:00:53;342;14192.689359;false
0:00:54;353;14364.714411;false
0:00:55;360;14507.813712;false
0:00:56;367;14441.351352;false
0:00:57;377;14173.532087;false
0:00:58;386;14004.773696;false
0:00:59;396;13398.819163;false
0:01:00;406;11816.304093;false
0:01:01;415;11840.610889;false
0:01:02;421;12170.415712;false
0:01:03;429;11900.861501;false
0:01:04;438;11262.377927;false
0:01:05;450;11217.95108;false
0:01:06;460;10788.228883;false
0:01:07;470;10546.54792;false
0:01:08;482;10379.268315;false
0:01:09;490;10522.856244;false
0:01:10;496;10888.127447;false
0:01:11;507;10862.293629;false
0:01:12;516;10765.963956;false
0:01:13;525;10390.752649;false
0:01:14;535;10344.639496;false
0:01:15;547;10286.172479;false
0:01:16;559;10099.472266;false
0:01:17;571;9865.152413;false
0:01:18;583;9948.259941;false
0:01:19;593;9170.260844;false
0:01:20;604;9227.306154;false
0:01:21;616;19666.192867;false
0:01:22;627;8793.016238;false
0:01:23;638;8720.814899;false
0:01:24;647;8966.581373;false
0:01:25;655;9220.936336;false
0:01:26;661;9772.167451;false
0:01:27;671;9814.955657;false
0:01:28;680;10179.353963;false
0:01:29;691;10151.764357;false
0:01:30;702;10067.269511;false
0:01:31;715;18894.380529;false
0:01:32;725;9957.682941;false
0:01:33;738;9888.354289;false
0:01:34;751;9374.28443;false
0:01:35;761;8843.336051;false
0:01:36;771;8787.26376;false
0:01:37;782;8736.875991;false
0:01:38;794;8595.015295;false
0:01:39;804;8811.673549;false
0:01:40;813;9069.183025;false
0:01:41;821;9398.573117;false
0:01:42;828;9646.51209;false
0:01:43;838;9922.302354;false
0:01:44;848;10225.438769;false
0:01:45;860;10110.836832;false
0:01:46;872;9932.821625;false
0:01:47;886;10069.458277;false
0:01:48;897;10034.10401;false
0:01:49;909;9806.289357;false
0:01:50;921;9433.150595;false
0:01:51;933;8959.48426;false
0:01:52;944;8883.393295;false
0:01:53;954;8973.422466;false
0:01:54;962;9113.174458;false
0:01:55;971;9464.575904;false
0:01:56;982;9350.590639;false
0:01:57;992;9313.880955;false
0:01:58;1003;9465.754207;false
0:01:59;1016;9328.595288;false
0:02:00;1026;9509.710345;false
0:02:01;1039;9292.539546;false
0:02:02;1048;9548.016607;false
0:02:03;1058;9597.605686;false
0:02:04;1068;9128.832886;false
0:02:05;1082;9006.018196;false
0:02:06;1093;8839.630068;false
0:02:07;1102;8977.435646;false
0:02:08;1111;18645.919944;false
0:02:09;1124;9235.750276;false
0:02:10;1134;9260.02864;false
0:02:11;1143;9485.63377;false
0:02:12;1149;9619.290609;false
0:02:13;1155;10179.002001;false
0:02:14;1162;10538.815287;false
0:02:15;1168;11017.419275;false
0:02:16;1175;11450.439904;false
0:02:17;1188;11263.172285;false
0:02:18;1199;11343.088264;false
0:02:19;1209;11113.424456;false
0:02:20;1218;11429.076229;false
0:02:21;1225;11828.078467;false
0:02:22;1235;11931.042838;false
0:02:23;1246;11425.832426;false
0:02:24;1253;11175.527859;false
0:02:25;1262;10926.13218;false
0:02:26;1273;10292.017367;false
0:02:27;1284;10327.322096;false
0:02:28;1296;10300.204272;false
0:02:29;1308;10091.000667;false
0:02:30;1317;9994.198215;false
0:02:31;1328;9543.696675;false
0:02:32;1339;9584.999214;false
0:02:33;1344;10110.809478;false
0:02:34;1352;10046.742808;false
0:02:35;1362;9942.500821;false
0:02:36;1373;9980.690502;false
0:02:37;1381;10051.705694;false
0:02:38;1388;10565.147548;false
0:02:39;1395;10924.783;false
0:02:40;1403;11370.560514;false
0:02:41;1410;11554.136122;false
0:02:42;1418;11751.315618;false
0:02:43;1428;11935.81505;false
0:02:44;1439;11745.727001;false
0:02:45;1450;11177.32279;false
0:02:46;1461;10978.454818;false
0:02:47;1470;11060.15101;false
0:02:48;1479;11356.736602;false
0:02:49;1489;10718.496962;false
0:02:50;1499;10356.79958;false
0:02:51;1509;10160.328593;false
0:02:52;1518;9948.779478;false
0:02:53;1530;9765.499324;false
0:02:55;1544;9910.924864;false
0:02:56;1554;10136.305502;false
0:02:57;1563;10259.337907;false
0:02:58;1572;10161.630986;false
0:02:59;1583;9958.728068;false
0:03:00;1594;9904.224065;false
0:03:01;1603;9949.164768;false
0:03:02;1614;9832.155995;false
0:03:03;1626;9867.891551;false
0:03:04;1637;9894.010822;false
0:03:05;1647;9740.648387;false
0:03:06;1658;9623.229386;false
0:03:07;1669;9347.974744;false
0:03:08;1687;9025.102796;false
0:03:09;1701;8720.452222;false
0:03:10;1711;8838.184978;false
0:03:11;1722;8876.903067;false
0:03:12;1733;8871.844019;false
0:03:13;1744;8809.023205;false
0:03:14;1755;8740.221127;false
0:03:15;1765;8793.754811;false
0:03:16;1775;9082.903336;false
0:03:17;1784;9261.578593;false
0:03:18;1796;9415.11882;false
0:03:19;1807;9102.599491;false
0:03:20;1818;9191.339574;false
0:03:21;1828;9368.42216;false
0:03:22;1840;9176.961466;false
0:03:23;1852;9274.881042;false
0:03:24;1859;9487.566029;false
0:03:25;1870;9419.711407;false
0:03:26;1883;9051.091431;false
0:03:27;1894;9123.068331;false
0:03:28;1904;9275.130267;false
0:03:29;1913;9420.965067;false
0:03:30;1924;9313.095196;false
0:03:31;1933;9683.695912;false
0:03:32;1944;9592.818288;false
0:03:34;1958;9564.071532;false
0:03:35;1974;9589.10435;false
0:03:36;1984;9644.049927;false
0:03:37;1994;9899.176129;false
0:03:38;2004;19170.192769;false
0:03:39;2014;9852.910756;false
0:03:40;2026;9683.022298;false
0:03:41;2036;9620.152989;false
0:03:42;2047;9600.353347;false
0:03:43;2058;9470.981257;false
0:03:44;2068;9568.061216;false
0:03:45;2078;9471.164782;false
0:03:46;2089;9341.800199;false
0:03:47;2101;9203.833433;false
0:03:48;2111;9271.276787;false
0:03:49;2122;9323.232123;false
0:03:50;2133;9169.73059;false
0:03:51;2143;9225.524091;false
0:03:52;2155;9251.996751;false
0:03:53;2166;9022.847785;false
0:03:54;2175;9093.604274;false
0:03:55;2186;9231.921692;false
0:03:56;2196;9303.151391;false
0:03:57;2208;9220.218435;false
0:03:58;2219;9258.401092;false
0:03:59;2230;9283.485923;false
0:04:00;2242;9122.081539;false
0:04:01;2250;9353.402815;false
0:04:02;2262;9213.460629;false
0:04:03;2276;8824.969414;false
0:04:04;2286;8864.847207;false
0:04:05;2297;8918.437166;false
0:04:06;2308;9002.04582;false
0:04:07;2318;9099.370127;false
0:04:08;2328;9097.414386;false
0:04:09;2338;9297.729426;false
0:04:10;2350;9030.24268;false
0:04:11;2360;9180.987678;false
0:04:13;2378;9396.846331;false
0:04:14;2394;9279.047309;false
0:04:16;2409;9330.151289;false
0:04:17;2419;9359.087331;false
0:04:18;2427;9593.459691;false
0:04:19;2436;9349.256175;false
0:04:20;2446;9827.193203;false
0:04:21;2455;10100.32833;false
0:04:22;2466;10008.322769;false
0:04:23;2475;10140.207079;false
0:04:24;2487;10093.721126;false
0:04:25;2497;10196.349008;false
0:04:26;2508;10037.640353;false
0:04:27;2519;9909.713266;false
0:04:28;2530;9748.256872;false
0:04:29;2539;9417.78745;false
0:04:30;2549;9617.338596;false
0:04:31;2561;9328.125423;false
0:04:32;2571;9587.004568;false
0:04:33;2581;9315.024783;false
0:04:34;2590;9483.956771;false
0:04:35;2602;9462.67522;false
0:04:36;2613;9431.902514;false
0:04:37;2623;9730.376471;false
0:04:38;2636;9263.9235;false
0:04:39;2648;9051.88831;false
0:04:40;2659;9120.663889;false
0:04:41;2669;9031.331796;false
0:04:42;2681;8988.154686;false
0:04:43;2692;8777.776338;false
0:04:44;2702;8966.084395;false
0:04:45;2713;8941.263573;false
0:04:46;2724;8902.624462;false
0:04:47;2734;9141.17389;false
0:04:48;2747;9034.583624;false
0:04:49;2759;8912.408223;false
0:04:50;2770;8791.68542;false
0:04:51;2781;8941.15198;false
0:04:52;2792;8917.990625;false
0:04:53;2802;8920.295917;false
0:04:55;2819;8961.842283;false
0:04:56;2830;8937.988508;false
0:04:57;2842;8793.283646;false
0:04:58;2854;8825.181614;false
0:04:59;2865;8920.75401;false
0:05:00;2874;8939.521773;false
