Time;Iterations;Result;warmUp;Threads;ResponseSize;failures;RequestSize;Average
0:00:01;53;433.6185653129638;true;100;2152;0;19278;587.2101413096576
0:00:04;94;59.180894041114655;true;100;3746;0;33558;142.9408150445585
0:00:05;128;417.3199689061568;true;100;5099;0;45696;104.46544183618701
0:00:06;184;51.53923470627326;true;100;7333;0;65688;84.72987868756628
0:00:07;356;40.79909845350887;true;100;14188;0;127092;71.32729523048008
0:00:08;432;96.78702997506997;true;100;17224;0;154224;75.92301017349446
0:00:09;525;241.74684373991207;true;100;20932;0;187425;82.98595076432498
0:00:11;573;125.24502341466984;true;100;22846;0;204561;87.15332969703191
0:00:12;688;130.75587868296978;true;100;27433;0;245616;93.12597016306633
0:00:13;696;242.63668275124647;true;100;27752;0;248472;93.65319650851981
0:00:14;801;108.0027198713755;true;100;31939;0;285957;97.53956556694476
0:00:15;896;164.077505310873;true;100;35724;0;319872;101.88854568160966
0:00:16;958;330.6688904899068;true;100;38196;0;342006;104.51156252294713
0:00:18;1053;254.65768200070667;true;100;41989;0;375921;106.41496903718463
0:00:19;1097;102.04579991018745;true;100;43741;0;391629;107.42785486838889
0:00:20;1224;149.6818932713048;true;100;48804;0;436968;108.82957329552539
0:00:22;1241;113.04334735667332;true;100;49483;0;443037;108.88554492714998
0:00:23;1387;186.7672968363975;true;100;55304;0;495159;111.00775017804702
0:00:24;1418;87.41775384768827;true;100;56540;0;506226;111.12775751409815
0:00:25;1445;55.15831100744158;true;100;57616;0;515865;110.55340191866807
0:00:26;1542;44.140246404106335;true;100;61482;0;550494;106.91513483375009
0:00:27;1569;30.466332123571444;true;100;62559;0;560133;104.5493202722943
0:00:28;1651;74.86285092023131;true;100;65826;0;589407;100.89128305290971
0:00:29;1719;44.99433912046308;true;100;68535;0;613683;98.72449572035319
0:00:30;1761;63.774292350997534;true;100;70210;0;628677;95.81166274307401
0:00:31;1839;86.09030326655778;true;100;73316;0;656523;92.386954444411
0:00:33;1892;393.1192525916131;true;100;75432;0;675444;91.3358291391974
0:00:34;1955;30.966310909935405;true;100;77944;0;697935;89.42479945973024
0:00:01;14;177.47248818382405;false;100;3150;0;28203;59.929240415681946
0:00:02;54;46.898840395311794;false;100;6022;0;53907;58.144804139509475
0:00:03;113;40.81315999578328;false;100;8375;0;74970;58.28590659854529
0:00:04;113;40.81315999578328;false;100;8375;0;74970;58.28590659854529
0:00:05;165;48.84686480870156;false;100;10529;0;94248;56.955982110527756
0:00:06;264;200.9449250229875;false;100;14468;0;129591;55.556904842908025
0:00:08;264;200.9449250229875;false;100;14468;0;129591;55.556904842908025
0:00:09;391;42.657830403097506;false;100;19533;0;174930;57.045337750662846
0:00:10;439;68.42706761932098;false;100;21446;0;192066;56.11596453502906
0:00:11;515;55.81705875490759;false;100;24477;0;219198;55.08476724775546
0:00:12;563;57.29548140280261;false;100;26389;0;236334;55.25947216859622
0:00:13;619;51.46542536383785;false;100;28621;0;256326;55.72670343006919
0:00:14;676;42.258602241574934;false;100;30895;0;276675;55.116741193275175
0:00:15;734;67.38756545423306;false;100;33204;0;297381;55.066944941152464
0:00:16;792;36.98494018727051;false;100;35518;0;318087;55.05442883645778
0:00:17;854;106.62456332776414;false;100;37991;0;340221;55.32681940877094
0:00:18;913;49.14764591703727;false;100;40345;0;361284;54.88633765114579
0:00:19;969;1362.8010904589205;false;100;42581;0;381276;55.05052617502717
0:00:21;1000;92.66669342818994;false;100;43812;0;392343;55.125989530343595
0:00:23;1152;91.55659496299012;false;100;49870;0;446607;56.462271750569975
0:00:25;1224;85.49465385685448;false;100;52747;0;472311;57.57578427416934
0:00:26;1344;48.33183687252819;false;100;57529;0;515151;56.90536156950456
0:00:27;1402;48.88288930287091;false;100;59840;0;535857;56.85739970145915
0:00:28;1455;1439.5707361296784;false;100;61953;0;554778;57.020561683206545
0:00:29;1510;101.02868232781375;false;100;64149;0;574413;57.23000498599831
0:00:30;1542;25.803813897103797;false;100;65426;0;585837;56.993060151884116
0:00:31;1629;49.44413672803545;false;100;68896;0;616896;56.878089600425255
0:00:32;1692;40.811412836506726;false;100;71408;0;639387;56.71221680111148
0:00:33;1746;54.25969195136407;false;100;73556;0;658665;56.504474460869545
0:00:34;1801;95.48965655419522;false;100;75750;0;678300;56.573978755508534
0:00:35;1853;66.83749398861073;false;100;77823;0;696864;56.43429669871838
0:00:37;1923;47.08635726020095;false;100;80620;0;721854;56.48354713050112
0:00:38;1974;34.19812296167453;false;100;82654;0;740061;56.54423945213902
0:00:39;2029;49.476923116261034;false;100;84844;0;759696;56.37333605617429
0:00:40;2129;59.21159839631544;false;100;88830;0;795396;56.496212773695305
0:00:42;2189;73.0185948825144;false;100;91223;0;816816;56.33168958333816
0:00:43;2189;73.0185948825144;false;100;91223;0;816816;56.33168958333816
0:00:44;2313;48.53869643214856;false;100;96164;0;861084;56.37951333258518
0:00:45;2367;34.05468798685699;false;100;98317;0;880362;56.50598874405261
0:00:46;2421;53.380614094833646;false;100;100467;0;899640;56.237190194163944
0:00:47;2476;37.66220957365203;false;100;102665;0;919275;55.983542518113744
0:00:48;2536;69.14785460213679;false;100;105056;0;940695;55.98852707763399
0:00:49;2578;39.42643836813814;false;100;106729;0;955689;55.99004142447098
0:00:50;2655;51.80220755542636;false;100;109801;0;983178;55.97213887662175
0:00:51;2722;45.71205433912579;false;100;112515;0;1007454;55.929155524078155
0:00:52;2780;46.65835412938558;false;100;114786;0;1027803;55.97238277883932
0:00:54;2780;46.65835412938558;false;100;114786;0;1027803;55.97238277883932
0:00:55;2788;53.538952406969614;false;100;115063;0;1030302;56.021237075474495
0:00:56;2905;39.326145180965675;false;100;119767;0;1072428;55.942405950408606
0:00:57;2991;553.1361870410989;false;100;123197;0;1103130;55.90724327911385
0:00:58;2991;553.1361870410989;false;100;123197;0;1103130;55.90724327911385
0:00:59;3128;43.94458637579063;false;100;128661;0;1152039;55.935767157126314
0:01:00;3145;41.407535274367085;false;100;129339;0;1158108;55.90815664758534
0:01:01;3242;79.16295955432906;false;100;133208;0;1192737;55.80222972838281
0:01:02;3259;53.37590273656828;false;100;133886;0;1198806;55.81607851766191
0:01:03;3361;52.988383562796336;false;100;137952;0;1235220;55.80254983242088
0:01:04;3418;70.42946348654613;false;100;140222;0;1255569;55.75655951581237
0:01:05;3452;56.45190680368932;false;100;141577;0;1267707;55.7524810967217
0:01:06;3533;53.61061138977457;false;100;144807;0;1296624;55.777271886884975
0:01:07;3553;57.415257236262185;false;100;145604;0;1303764;55.78754145330201
0:01:08;3645;50.89469675620991;false;100;149270;0;1336608;55.71661495088083
0:01:09;3705;55.290430782912395;false;100;151662;0;1358028;55.760543878148674
0:01:10;3753;72.54851619084425;false;100;153576;0;1375164;55.75143121922893
0:01:12;3753;72.54851619084425;false;100;153576;0;1375164;55.75143121922893
