Time;Iterations;Result;warmUp;Threads;ResponseSize;failures;RequestSize;Average
0:00:03;72;1781.478976;true;100;2869;0;25704;387.41580916666675
0:00:04;94;1689.734527;true;100;3746;0;33558;699.5902462765958
0:00:05;128;2114.885858;true;100;5059;0;45339;962.9049937086616
0:00:06;198;1940.2694;true;100;7893;0;70686;1180.2212106161614
0:00:07;356;2451.034552;true;100;14188;0;127092;1401.9878319634836
0:00:08;432;1033.196287;true;100;17224;0;154224;1317.1237516990743
0:00:09;525;413.655866;true;100;20932;0;187425;1205.0232488628565
0:00:11;573;798.434918;true;100;22846;0;204561;1147.4030923158805
0:00:12;688;764.78397;true;100;27433;0;245616;1073.8143165101735
0:00:13;696;412.138836;true;100;27752;0;248472;1067.769213738505
0:00:14;801;925.902608;true;100;31939;0;285957;1025.2249886367028
0:00:15;896;609.468067;true;100;35724;0;319872;981.4645928158476
0:00:17;958;302.417321;true;100;38196;0;342006;956.8319292713984
0:00:18;1053;392.684011;true;100;41989;0;375921;939.7174185622032
0:00:19;1097;979.95214;true;100;43741;0;391629;930.8572727484051
0:00:20;1224;668.083479;true;100;48804;0;436968;918.8678864746736
0:00:22;1241;884.616409;true;100;49483;0;443037;918.3955507308624
0:00:23;1387;535.425643;true;100;55304;0;495159;900.8380031088682
0:00:24;1418;1143.932389;true;100;56540;0;506226;899.8651843335683
0:00:25;1445;1812.963417;true;100;57616;0;515865;904.540233629066
0:00:26;1542;2265.506157;true;100;61482;0;550494;935.321272853438
0:00:27;1569;3282.311753;true;100;62559;0;560133;956.486371595284
0:00:28;1667;622.91091;true;100;66464;0;595119;996.3547857036598
0:00:29;1719;2222.501807;true;100;68535;0;613683;1012.9198358557303
0:00:30;1761;1568.029943;true;100;70210;0;628677;1043.7142737847814
0:00:31;1839;1161.571004;true;100;73316;0;656523;1082.4039021674816
0:00:33;1892;254.375738;true;100;75432;0;675444;1094.8605924143756
0:00:34;1955;3229.315894;true;100;77944;0;697935;1118.2580291391307
0:00:01;19;1752.669872;false;100;3590;0;32130;1620.0440999111108
0:00:02;54;2132.248882;false;100;6022;0;53907;1719.8441284635765
0:00:03;113;2450.190086;false;100;8375;0;74970;1715.680613647619
0:00:04;113;2450.190086;false;100;8375;0;74970;1715.680613647619
0:00:05;164;3358.29551;false;100;10489;0;93891;1754.6335650836504
0:00:06;264;497.648796;false;100;14468;0;129591;1799.9562841515155
0:00:08;264;497.648796;false;100;14468;0;129591;1799.9562841515155
0:00:09;391;2344.235491;false;100;19533;0;174930;1752.9916368816337
0:00:10;439;1461.409987;false;100;21446;0;192066;1782.0240786840159
0:00:11;515;1791.566991;false;100;24477;0;219198;1815.3839073192191
0:00:12;563;1745.338333;false;100;26389;0;236334;1809.6445021208476
0:00:13;619;1943.052045;false;100;28621;0;256326;1794.471839259055
0:00:14;676;2366.382102;false;100;30895;0;276675;1814.3307792696799
0:00:15;734;1483.953298;false;100;33204;0;297381;1815.9714526902785
0:00:16;792;2703.80321;false;100;35518;0;318087;1816.3842966576892
0:00:17;855;3764.370437;false;100;38031;0;340578;1809.4929784549286
0:00:18;913;2034.685449;false;100;40345;0;361284;1821.9470323488165
0:00:19;969;73.37828;false;100;42581;0;381276;1816.513064417605
0:00:23;1152;1092.22061;false;100;49870;0;446607;1771.0941642901698
0:00:24;1152;1092.22061;false;100;49870;0;446607;1771.0941642901698
0:00:25;1224;1169.66378;false;100;52747;0;472311;1736.8412998737733
0:00:26;1344;2069.029577;false;100;57529;0;515151;1757.30365719335
0:00:27;1402;2045.705592;false;100;59840;0;535857;1758.786024775486
0:00:28;1455;69.465152;false;100;61953;0;554778;1753.7533312207238
0:00:29;1510;989.817918;false;100;64149;0;574413;1747.3351614151675
0:00:30;1542;3875.39611;false;100;65426;0;585837;1754.5995904326664
0:00:31;1629;2022.484497;false;100;68896;0;616896;1758.1462510873866
0:00:32;1692;2450.29498;false;100;71408;0;639387;1763.2885053796774
0:00:33;1746;1842.988716;false;100;73556;0;658665;1769.7713491566406
0:00:34;1801;1047.233843;false;100;75750;0;678300;1767.5970861473688
0:00:35;1853;1496.166209;false;100;77823;0;696864;1771.972113586578
0:00:37;1925;1722.757534;false;100;80699;0;722568;1770.5999629130433
0:00:38;1974;2924.137097;false;100;82654;0;740061;1768.5267494780512
0:00:40;2099;3047.59129;false;100;87632;0;784686;1770.0110916633305
0:00:40;2129;1688.85831;false;100;88830;0;795396;1770.0301505264817
0:00:42;2189;1369.514165;false;100;91223;0;816816;1775.199727536278
0:00:43;2189;1369.514165;false;100;91223;0;816816;1775.199727536278
0:00:44;2313;2060.2119;false;100;96164;0;861084;1773.6939198126056
0:00:45;2367;2936.453273;false;100;98317;0;880362;1769.7239217060046
0:00:46;2421;1873.339258;false;100;100467;0;899640;1778.1827231186537
0:00:47;2476;2655.181444;false;100;102665;0;919275;1786.2392321394207
0:00:48;2536;1446.176466;false;100;105056;0;940695;1786.0802064204975
0:00:49;2578;2536.3691;false;100;106729;0;955689;1786.031898813601
0:00:50;2664;2009.825335;false;100;110159;0;986391;1786.530775082522
0:00:51;2724;2057.967195;false;100;112555;0;1007811;1788.0718582752427
0:00:53;2780;2143.238909;false;100;114786;0;1027803;1786.5953714195937
0:00:54;2780;2143.238909;false;100;114786;0;1027803;1786.5953714195937
0:00:55;2787;1867.798967;false;100;115063;0;1030302;1785.037339773046
0:00:56;2905;2542.837584;false;100;119767;0;1072428;1787.5527214300962
0:00:57;2991;180.787304;false;100;123197;0;1103130;1788.6769966595493
0:00:58;2991;180.787304;false;100;123197;0;1103130;1788.6769966595493
0:00:59;3128;2275.593156;false;100;128661;0;1152039;1787.7648789386446
0:01:00;3145;2415.019376;false;100;129339;0;1158108;1788.6477751421103
0:01:01;3242;1263.217047;false;100;133208;0;1192737;1792.043086571088
0:01:02;3259;1873.504613;false;100;133886;0;1198806;1791.5984543478269
0:01:03;3361;1887.206087;false;100;137952;0;1235220;1792.0328067500013
0:01:04;3418;1419.860312;false;100;140222;0;1255569;1793.5109495348318
0:01:05;3452;1771.419349;false;100;141577;0;1267707;1793.6421488851033
0:01:06;3537;1290.176774;false;100;144967;0;1298052;1792.3539863817389
0:01:07;3592;1780.371702;false;100;147156;0;1317687;1791.2679842777031
0:01:08;3645;1964.841258;false;100;149270;0;1336608;1794.7967601434302
0:01:09;3705;1808.631233;false;100;151662;0;1358028;1793.3827944455838
0:01:10;3753;1378.387943;false;100;153576;0;1375164;1793.6759256775697
0:01:12;3753;1378.387943;false;100;153576;0;1375164;1793.6759256775697
0:01:13;3877;1940.43353;false;100;158521;0;1419432;1795.2694295387332
0:01:14;3939;953.482435;false;100;160986;0;1441566;1796.1637542553249
0:01:15;3993;1975.447982;false;100;163139;0;1460844;1794.0847661454056
0:01:16;4084;2118.787334;false;100;166763;0;1493331;1787.0666511133154
0:01:17;4092;1995.047286;false;100;167083;0;1496187;1787.5805904581246
0:01:18;4185;2750.385027;false;100;170799;0;1529388;1787.2558551365546
0:01:19;4245;2127.510294;false;100;173191;0;1550808;1786.6141257177712
0:01:20;4305;2157.083509;false;100;175584;0;1572228;1786.1477954659401
0:01:21;4322;1645.102722;false;100;176260;0;1578297;1785.8994983711834
0:01:22;4322;1645.102722;false;100;176260;0;1578297;1785.8994983711834
0:01:24;4494;2424.668237;false;100;183108;0;1639701;1784.1131834282605
0:01:25;4544;1464.869806;false;100;185104;0;1657551;1785.7670253863876
0:01:26;4593;3139.47021;false;100;187060;0;1675044;1787.0586570839716
0:01:27;4664;1610.064988;false;100;189889;0;1700391;1790.538270853872
0:01:28;4734;1588.487042;false;100;192675;0;1725381;1789.4763668818523
0:01:29;4793;2296.892079;false;100;195029;0;1746444;1788.1873176778408
0:01:30;4828;2236.937879;false;100;196425;0;1758939;1789.3549517280294
