Time;Iterations;warmUp
0:02:49;1706;8359.405366;false
0:02:50;1719;8135.979266;false
0:02:51;1729;8055.524072;false
0:02:52;1740;8371.025004;false
0:02:53;1753;8179.3418;false
0:02:54;1764;8017.097669;false
0:02:55;1778;8088.522827;false
0:02:56;1790;8074.998815;false
0:02:57;1806;7944.509434;false
0:02:58;1817;8029.465832;false
0:02:59;1828;8076.516177;false
0:03:00;1843;7716.086435;false
0:03:01;1857;7580.677483;false
0:03:02;1870;7541.893632;false
0:03:03;1881;7668.200419;false
0:03:04;1898;7837.38192;false
0:03:05;1907;8250.059323;false
0:03:06;1917;8346.512764;false
0:03:07;1929;8327.460143;false
0:03:08;1942;8573.312817;false
0:03:09;1953;16425.034459;false
0:03:10;1966;8723.467847;false
0:03:11;1976;8946.961532;false
0:03:12;1993;8443.896727;false
0:03:13;2003;8526.679159;false
0:03:14;2018;7873.819446;false
0:03:15;2030;7866.093868;false
0:03:16;2043;7910.53988;false
0:03:17;2053;7977.754558;false
0:03:18;2063;8212.269306;false
0:03:19;2077;7869.226005;false
0:03:20;2088;8173.420634;false
0:03:21;2102;8029.518997;false
0:03:22;2116;8038.467971;false
0:03:23;2130;7926.323763;false
0:03:24;2142;8039.792118;false
0:03:25;2157;7522.399169;false
0:03:26;2168;7613.313501;false
0:03:27;2180;7615.236888;false
0:03:28;2194;7535.387426;false
0:03:30;2213;7773.17685;false
0:03:31;2230;7918.691509;false
0:03:32;2239;8029.803503;false
0:03:33;2249;8480.839562;false
0:03:34;2261;8624.398521;false
0:03:35;2269;8840.239346;false
0:03:36;2279;8971.241651;false
0:03:37;2288;9241.785137;false
0:03:38;2306;9097.049144;false
0:03:39;2320;8736.178578;false
0:03:40;2332;8586.332134;false
0:03:41;2346;8191.498355;false
0:03:42;2360;8058.737717;false
0:03:43;2370;7816.455982;false
0:03:44;2379;7960.323028;false
0:03:45;2393;7721.152714;false
0:03:46;2406;7901.586127;false
0:03:47;2419;8030.450715;false
0:03:48;2431;8086.012333;false
0:03:50;2451;7995.140861;false
0:03:51;2462;8332.685338;false
0:03:52;2479;7473.252817;false
0:03:53;2492;7442.212438;false
0:03:54;2504;7734.20521;false
0:03:55;2517;7567.257663;false
0:03:56;2529;7535.404971;false
0:03:57;2542;7671.737873;false
0:03:58;2556;7637.335568;false
0:03:59;2569;7572.695037;false
0:04:00;2578;7926.617223;false
0:04:01;2593;7950.568111;false
0:04:02;2603;8011.259374;false
0:04:03;2615;8011.853453;false
0:04:04;2627;7988.920881;false
0:04:05;2635;8434.452902;false
0:04:06;2644;8778.454092;false
0:04:07;2652;9284.722256;false
0:04:08;2665;9365.032281;false
0:04:09;2675;9298.081753;false
0:04:10;2686;9498.653392;false
0:04:11;2697;9574.292629;false
0:04:12;2708;9574.334851;false
0:04:13;2718;9785.254238;false
0:04:14;2731;9533.027679;false
0:04:15;2742;9309.17392;false
0:04:16;2756;8573.55683;false
0:04:17;2765;8940.982518;false
0:04:18;2776;8798.329683;false
0:04:19;2790;8536.0177;false
0:04:20;2804;8421.652208;false
0:04:21;2819;7743.338765;false
0:04:22;2829;8041.501914;false
0:04:23;2839;8143.608296;false
0:04:24;2849;8479.320572;false
0:04:25;2860;8521.407256;false
0:04:26;2870;8353.453467;false
0:04:27;2879;8782.546309;false
0:04:28;2891;8973.316215;false
0:04:29;2898;9451.060229;false
0:04:30;2908;9695.622221;false
0:04:31;2918;10036.450027;false
0:04:32;2926;10448.634553;false
0:04:33;2940;10492.366558;false
0:04:34;2947;10769.623756;false
0:04:35;2960;10551.932145;false
0:04:36;2971;10503.554333;false
0:04:37;2983;10208.019554;false
0:04:38;2992;10391.455397;false
0:04:39;3005;9922.295773;false
0:04:40;3019;9424.80666;false
0:04:41;3033;8717.511262;false
0:04:42;3046;8030.3473;false
0:04:43;3063;7578.281698;false
0:04:44;3080;7311.159735;false
0:04:46;3098;6859.480042;false
0:04:47;3104;7440.723494;false
0:04:48;3112;7926.824559;false
0:04:49;3118;8706.332554;false
0:04:50;3128;8971.163242;false
0:04:51;3138;8994.186443;false
0:04:52;3150;9272.031312;false
0:04:53;3161;9647.775988;false
0:04:54;3172;10069.30572;false
0:04:55;3182;10364.762456;false
0:04:56;3194;10546.017581;false
0:04:57;3206;9742.705218;false
0:04:58;3219;8752.550283;false
0:04:59;3232;8516.894386;false
0:05:00;3240;8310.704459;false
