Time;Iterations;Result;warmUp;Threads;ResponseSize;failures;RequestSize;Average
0:00:01;11;1353.102277;true;100;425;0;3729;819.6982881818182
0:00:03;35;2318.94809;true;100;1359;0;11865;1372.1148758571433
0:00:04;116;3291.471801;true;100;4507;0;39324;2196.945381784483
0:00:05;143;1803.621871;true;100;5555;0;48477;2160.558809930069
0:00:06;215;2665.098653;true;100;8349;0;72885;2200.090017372094
0:00:07;250;3015.206916;true;100;9711;0;84750;2187.718057072001
0:00:08;295;2726.325239;true;100;11460;0;100005;2180.4659054644085
0:00:09;334;2588.571916;true;100;12980;0;113226;2218.0549561526955
0:00:10;377;2183.13582;true;100;14656;0;127803;2229.84223156764
0:00:11;439;2367.606636;true;100;17065;0;148821;2252.1017623120747
0:00:12;496;1029.192284;true;100;19284;0;168144;2266.982983125002
0:00:13;541;2020.084289;true;100;21030;0;183399;2269.5644483493547
0:00:14;593;1550.706358;true;100;23052;0;201027;2259.334780596964
0:00:15;636;2186.384767;true;100;24725;0;215604;2246.927663165094
0:00:16;685;2074.663646;true;100;26623;0;232215;2236.7355995620446
0:00:18;731;1773.275815;true;100;28410;0;247809;2241.61253189193
0:00:19;781;1932.479324;true;100;30353;0;264759;2241.057056198464
0:00:20;820;1951.211382;true;100;31867;0;277980;2237.341529018293
0:00:21;869;2295.084991;true;100;33772;0;294591;2241.648751322208
0:00:22;913;2457.846065;true;100;35481;0;309507;2240.106592388827
0:00:23;959;2059.120982;true;100;37271;0;325101;2240.4728205995825
0:00:24;1013;2753.384957;true;100;39368;0;343407;2237.9020872744322
0:00:25;1055;2783.332979;true;100;41001;0;357645;2234.5065729497633
0:00:26;1111;2236.678883;true;100;43177;0;376629;2232.0912357398747
0:00:27;1156;2004.813406;true;100;44922;0;391884;2226.3202395034605
0:00:28;1202;3394.314074;true;100;46712;0;407478;2220.896380351082
0:00:29;1253;2855.613216;true;100;48697;0;424767;2217.018306584997
0:00:01;0;2816.64409;false;100;2564;0;22374;2516.2062629393945
0:00:02;7;2848.407898;false;100;3927;0;34239;2579.6118527425756
0:00:03;38;3566.879272;false;100;5401;0;47121;2595.80918267626
0:00:04;77;3626.166461;false;100;6919;0;60342;2586.7983052752825
0:00:05;123;2718.862819;false;100;8708;0;75936;2587.528468321431
0:00:06;159;3310.810454;false;100;10106;0;88140;2573.2324170807724
0:00:07;200;3518.909453;false;100;11699;0;102039;2564.218783946847
0:00:08;236;3031.59106;false;100;13100;0;114243;2562.7005322611303
0:00:09;282;2928.227033;false;100;14889;0;129837;2572.8450618459565
0:00:10;315;3297.782504;false;100;16172;0;141024;2572.714344074522
0:00:11;358;2205.476701;false;100;17845;0;155601;2562.2407091285436
0:00:12;398;3518.511847;false;100;19397;0;169161;2572.3368022525083
0:00:13;437;3094.441759;false;100;20912;0;182382;2567.9004349163597
0:00:14;474;3117.428737;false;100;22347;0;194925;2567.642646671307
0:00:15;517;2319.167184;false;100;24012;0;209502;2564.3581589466044
0:00:16;551;2882.735273;false;100;25330;0;221028;2566.8928230843576
0:00:17;591;3250.435176;false;100;26886;0;234588;2568.0284006127176
0:00:18;639;2483.243991;false;100;28751;0;250860;2563.491943337838
0:00:19;671;2839.562023;false;100;29992;0;261708;2557.375666492228
0:00:20;711;2323.518785;false;100;31548;0;275268;2558.7899445899016
0:00:21;752;1814.282086;false;100;33136;0;289167;2556.9756255392726
0:00:22;786;2179.521895;false;100;34459;0;300693;2558.743117781286
0:00:23;830;2819.514648;false;100;36168;0;315609;2561.244196791623
0:00:24;866;3004.33644;false;100;37566;0;327813;2567.042361708376
0:00:25;894;2287.06367;false;100;38653;0;337305;2566.3020448482403
0:00:26;933;3639.763628;false;100;40169;0;350526;2579.593218246613
0:00:27;970;3344.472258;false;100;41607;0;363069;2586.5706823725486
0:00:28;1012;2705.780681;false;100;43239;0;377307;2589.872730758311
0:00:29;1047;2231.980997;false;100;44598;0;389172;2590.3903077047053
0:00:30;1092;2355.765575;false;100;46345;0;404427;2592.1931335264053
0:00:31;1127;3943.871534;false;100;47706;0;416292;2592.047900311077
0:00:32;1166;2035.834803;false;100;49220;0;429513;2586.7460484727717
0:00:33;1211;3426.859218;false;100;50970;0;444768;2589.1292269054893
0:00:34;1244;2514.84811;false;100;52250;0;455955;2582.181309338292
0:00:35;1290;1865.921676;false;100;54040;0;471549;2582.790211818837
0:00:36;1329;2360.499221;false;100;55554;0;484770;2581.2036708741275
0:00:37;1365;2853.3843;false;100;56950;0;496974;2575.608141491816
0:00:38;1409;3283.960589;false;100;58661;0;511890;2577.017935629141
0:00:39;1449;2843.696935;false;100;60213;0;525450;2576.1671165677435
0:00:40;1482;2295.434281;false;100;61492;0;536637;2573.520876028428
0:00:41;1521;2424.734211;false;100;63009;0;549858;2574.9501001214553
0:00:42;1565;2364.7392;false;100;64718;0;564774;2577.0812376422555
0:00:43;1605;2685.822218;false;100;66272;0;578334;2577.176221553339
0:00:44;1639;2149.991193;false;100;67590;0;589860;2572.2272263971236
