Time;Iterations;Result;warmUp;Threads;ResponseSize;failures;RequestSize;Average
0:00:01;8;73.66433118299956;true;100;309;0;2712;159.77203859741434
0:00:03;34;38.473896128998575;true;100;1320;0;11526;74.38999238355109
0:00:04;116;30.38154541370169;true;100;4507;0;39324;45.51774515157693
0:00:05;143;55.443993892442656;true;100;5555;0;48477;46.2843221579498
0:00:06;215;37.52206316544186;true;100;8349;0;72885;45.45268566758257
0:00:07;250;33.16521976298093;true;100;9711;0;84750;45.70972922070136
0:00:08;295;36.679409547145376;true;100;11460;0;100005;45.861758145079314
0:00:09;334;38.63133930407673;true;100;12980;0;113226;45.084545683869806
0:00:10;377;45.8056704873268;true;100;14656;0;127803;44.846222115767056
0:00:11;439;42.236745952421806;true;100;17065;0;148821;44.402966896725445
0:00:12;496;97.1635733716791;true;100;19284;0;168144;44.11149123940558
0:00:13;541;49.502884876899316;true;100;21030;0;183399;44.061317612165475
0:00:14;593;64.4867414672714;true;100;23052;0;201027;44.26081555455798
0:00:15;636;45.737603695992085;true;100;24725;0;215604;44.50521556138428
0:00:16;685;48.20058431775307;true;100;26623;0;232215;44.70801109419466
0:00:18;731;56.392806552769684;true;100;28410;0;247809;44.610742747587906
0:00:19;781;51.74699607808068;true;100;30353;0;264759;44.62180011143109
0:00:20;818;42.50808603265263;true;100;31789;0;277302;44.682985659034856
0:00:21;869;43.571371165835835;true;100;33772;0;294591;44.610021949699465
0:00:22;913;40.686030514282834;true;100;35481;0;309507;44.640732873948295
0:00:23;959;48.5644121322445;true;100;37271;0;325101;44.63343588932216
0:00:24;1013;36.31893162841886;true;100;39368;0;343407;44.68470741800479
0:00:25;1055;35.92814828642175;true;100;41001;0;357645;44.75260946222709
0:00:26;1111;44.709144777131606;true;100;43177;0;376629;44.80103608616745
0:00:27;1156;49.87995376563239;true;100;44922;0;391884;44.91716790137224
0:00:28;1202;29.461033310378337;true;100;46712;0;407478;45.026864325922354
0:00:29;1253;35.018748141274884;true;100;48697;0;424767;45.105626644119184
0:00:01;0;35.50324315203061;false;100;2564;0;22374;39.74236988154601
0:00:02;7;35.107331386847605;false;100;3927;0;34239;38.765521988776214
0:00:03;38;28.035711997599677;false;100;5401;0;47121;38.52363288772282
0:00:04;77;27.577332997675644;false;100;6919;0;60342;38.65782647068738
0:00:05;123;36.78008294540586;false;100;8708;0;75936;38.646917792124455
0:00:06;158;50.20109925316914;false;100;10068;0;87801;38.904683373281664
0:00:07;200;28.417895184755693;false;100;11699;0;102039;38.998232376287355
0:00:08;236;32.98597931608889;false;100;13100;0;114243;39.021336570983486
0:00:09;282;34.1503574938139;false;100;14889;0;129837;38.86747845136559
0:00:10;315;30.32340667667027;false;100;16172;0;141024;38.869453280081444
0:00:11;358;45.34167146479413;false;100;17845;0;155601;39.028339392051706
0:00:12;398;28.421106521287776;false;100;19397;0;169161;38.87515814897699
0:00:13;436;53.9637796805247;false;100;20873;0;182043;38.95719518559669
0:00:14;474;32.0777180286832;false;100;22347;0;194925;38.946229581300976
0:00:15;517;43.118926781088845;false;100;24012;0;209502;38.99611278990698
0:00:16;551;34.68927616649731;false;100;25330;0;221028;38.957606293760584
0:00:17;591;30.76511131135999;false;100;26886;0;234588;38.9403793105016
0:00:18;639;40.269905157297934;false;100;28751;0;250860;39.009289754113006
0:00:19;671;35.21669862817432;false;100;29992;0;261708;39.10258524402201
0:00:20;711;43.0381715205285;false;100;31548;0;275268;39.0809727118992
0:00:21;752;55.118220463981366;false;100;33136;0;289167;39.10870287584759
0:00:22;786;45.88162212520467;false;100;34459;0;300693;39.08168792133816
0:00:23;830;35.46709717253436;false;100;36168;0;315609;39.04352428607408
0:00:24;866;33.28522021321953;false;100;37566;0;327813;38.95533688561711
0:00:25;894;43.72418718014965;false;100;38653;0;337305;38.96657457010813
0:00:26;933;27.474311581861876;false;100;40169;0;350526;38.76580202361182
0:00:27;970;29.90008356648776;false;100;41607;0;363069;38.661228429402236
0:00:28;1012;36.957910410921436;false;100;43239;0;377307;38.61193595050519
0:00:29;1047;44.803248833394974;false;100;44598;0;389172;38.60422103285586
0:00:30;1092;42.449045465824845;false;100;46345;0;404427;38.577372459883236
0:00:31;1127;25.355795476070394;false;100;47706;0;416292;38.57953396154399
